1023 0 1 0 0 0 7101 1 0.5
10 0.33 0.33 0.33 1 10
0 0.7 0.1
0.3 0.35 0.05 -0.18
0 0 0 1 0.0000000368726501101
0 0 0.1 1 0.0000000368726501101
0 1 0 1 0.0000000368726501101
0 1 0.1 1 0.0000000368726501101
3600.00000041909 0 0 1 0.00000001296676106298
3600.00000041909 0 0.1 1 0.00000001296676106298
3600.00000041909 1 0 1 0.00000001296676106298
3600.00000041909 1 0.1 1 0.00000001296676106298
7200.00000020955 0 0 1 0.00000001070866318639
7200.00000020955 0 0.1 1 0.00000001070866318639
7200.00000020955 1 0 1 0.00000001070866318639
7200.00000020955 1 0.1 1 0.00000001070866318639
10800 0 0 1 0.00000002048211545405
10800 0 0.1 1 0.00000002048211545405
10800 1 0 1 0.00000002048211545405
10800 1 0.1 1 0.00000002048211545405
14400.0000004191 0 0 1 0.00000004477144524402
14400.0000004191 0 0.1 1 0.00000004477144524402
14400.0000004191 1 0 1 0.00000004477144524402
14400.0000004191 1 0.1 1 0.00000004477144524402
18000.0000002095 0 0 1 0.00000000753946694511
18000.0000002095 0 0.1 1 0.00000000753946694511
18000.0000002095 1 0 1 0.00000000753946694511
18000.0000002095 1 0.1 1 0.00000000753946694511
21600 0 0 1 0.0000000047604036291
21600 0 0.1 1 0.0000000047604036291
21600 1 0 1 0.0000000047604036291
21600 1 0.1 1 0.0000000047604036291
25200.0000004191 0 0 1 0.0000000039044094846
25200.0000004191 0 0.1 1 0.0000000039044094846
25200.0000004191 1 0 1 0.0000000039044094846
25200.0000004191 1 0.1 1 0.0000000039044094846
28800.0000002095 0 0 1 0.00000000005578751282
28800.0000002095 0 0.1 1 0.00000000005578751282
28800.0000002095 1 0 1 0.00000000005578751282
28800.0000002095 1 0.1 1 0.00000000005578751282
32400 0 0 1 0.00000000000013608389
32400 0 0.1 1 0.00000000000013608389
32400 1 0 1 0.00000000000013608389
32400 1 0.1 1 0.00000000000013608389
36000.0000004191 0 0 1 0.00000000000017128956
36000.0000004191 0 0.1 1 0.00000000000017128956
36000.0000004191 1 0 1 0.00000000000017128956
36000.0000004191 1 0.1 1 0.00000000000017128956
39600.0000002095 0 0 1 0.00000000000031316229
39600.0000002095 0 0.1 1 0.00000000000031316229
39600.0000002095 1 0 1 0.00000000000031316229
39600.0000002095 1 0.1 1 0.00000000000031316229
