2.98857e-06 0.241904 0.0751649 0.0684699 68.6064 78.9408 0.795867 6.63118
0 1371 6
0.35 0 0.35 2.98857e-06
0.35 2.98857e-06 0.35 6.76145e-06
0.35 6.76145e-06 0.35 1.14775e-05
0.35 1.14775e-05 0.35 1.73727e-05
0.35 1.73727e-05 0.35 2.47416e-05
0.35 2.47416e-05 0.35 3.39527e-05
0.35 3.39527e-05 0.35 4.54666e-05
0.35 4.54666e-05 0.35 5.9859e-05
0.35 5.9859e-05 0.35 7.78495e-05
0.35 7.78495e-05 0.35 0.000100338
0.35 0.000100338 0.35 0.000128448
0.35 0.000128448 0.35 0.000163585
0.35 0.000163585 0.35 0.000207507
0.35 0.000207507 0.35 0.00026241
0.35 0.00026241 0.35 0.000331038
0.35 0.000331038 0.35 0.000416824
0.35 0.000416824 0.35 0.000524056
0.35 0.000524056 0.35 0.000658096
0.35 0.000658096 0.35 0.000825646
0.35 0.000825646 0.35 0.00103508
0.35 0.00103508 0.35 0.00129688
0.35 0.00129688 0.35 0.00162413
0.35 0.00162413 0.35 0.00203319
0.35 0.00203319 0.35 0.00254452
0.35 0.00254452 0.35 0.00314819
0.35 0.00314819 0.35 0.00375187
0.35 0.00375187 0.35 0.00435555
0.35 0.00435555 0.35 0.00495923
0.35 0.00495923 0.35 0.00556291
0.35 0.00556291 0.35 0.0061666
0.35 0.0061666 0.35 0.0067703
0.35 0.0067703 0.35 0.00737399
0.35 0.00737399 0.35 0.00797769
0.35 0.00797769 0.35 0.0085814
0.35 0.0085814 0.35 0.00918511
0.35 0.00918511 0.35 0.00978882
0.35 0.00978882 0.35 0.0103925
0.35 0.0103925 0.35 0.0109962
0.35 0.0109962 0.35 0.0116
0.35 0.0116 0.35 0.0122037
0.35 0.0122037 0.35 0.0128074
0.35 0.0128074 0.35 0.0134112
0.35 0.0134112 0.35 0.0140149
0.35 0.0140149 0.35 0.0146186
0.35 0.0146186 0.35 0.0152224
0.35 0.0152224 0.35 0.0158261
0.35 0.0158261 0.35 0.0164299
0.35 0.0164299 0.35 0.0170336
0.35 0.0170336 0.35 0.0176374
0.35 0.0176374 0.35 0.0182411
0.35 0.0182411 0.35 0.0188449
0.35 0.0188449 0.35 0.0194487
0.35 0.0194487 0.35 0.0200524
0.35 0.0200524 0.35 0.0206543
0.35 0.0206543 0.35 0.0212563
0.35 0.0212563 0.35 0.0218583
0.35 0.0218583 0.35 0.0224605
0.35 0.0224605 0.35 0.0230628
0.35 0.0230628 0.35 0.0236652
